"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatHeroSectionImageIsDisplayed","verifyThatHeroSectionImageIsDisplayed",""
"passed","Sun Sep 24 10:28:09 AST 2023","Sun Sep 24 10:28:11 AST 2023","2375","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingSliderIndexOnePostAuthorImageOpenHisPage","ClickingSliderIndexOnePostAuthorImageOpenHisPage",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_4_ImageIsDisplayed","verifyCard_4_ImageIsDisplayed",""
"passed","Sun Sep 24 10:26:58 AST 2023","Sun Sep 24 10:27:00 AST 2023","2117","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","ClickingAboutUsMenuItemOpensAboutUsPage","ClickingAboutUsMenuItemOpensAboutUsPage",""
"passed","Sun Sep 24 10:28:05 AST 2023","Sun Sep 24 10:28:05 AST 2023","120","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","verifySliderSectionIsDisplayed","verifySliderSectionIsDisplayed",""
"passed","Sun Sep 24 10:26:32 AST 2023","Sun Sep 24 10:26:32 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","blogMenuItemTextIsCorrect","blogMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:27:11 AST 2023","Sun Sep 24 10:27:11 AST 2023","51","Practice Suite","Home Page Test","HomePageTest.StatisticsSectionTest","HomePageTest.StatisticsSectionTest","paragraphRateTest","paragraphRateTest",""
"passed","Sun Sep 24 10:27:34 AST 2023","Sun Sep 24 10:27:34 AST 2023","25","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNameFiledPlaceholderIsCorrect","verifySearchNameFiledPlaceholderIsCorrect",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_2_HeadIsDisplayed","verifyCard_2_HeadIsDisplayed",""
"failed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","18","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_4_ImageAltIsCorrect","verifyCard_4_ImageAltIsCorrect",""
"failed","Sun Sep 24 10:27:41 AST 2023","Sun Sep 24 10:27:42 AST 2023","1433","Practice Suite","Specialists Page Test","SpecialistsPageTest","SpecialistsPageTest","verifySearchNotExistSpecialistNameDoesNotDisplayResult","verifySearchNotExistSpecialistNameDoesNotDisplayResult",""
"passed","Sun Sep 24 10:28:17 AST 2023","Sun Sep 24 10:28:19 AST 2023","1954","Practice Suite","Blog Page Test","BlogPageTest","BlogPageTest","ClickingSliderIndexOneBlogPostShareTwitterIconOpenShareTwitterPostPage","ClickingSliderIndexOneBlogPostShareTwitterIconOpenShareTwitterPostPage",""
"passed","Sun Sep 24 10:26:31 AST 2023","Sun Sep 24 10:26:31 AST 2023","29","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifySpecialistsMenuItemIsActiveClassAfterClick","verifySpecialistsMenuItemIsActiveClassAfterClick",""
"passed","Sun Sep 24 10:29:18 AST 2023","Sun Sep 24 10:29:18 AST 2023","0","Practice Suite","tear down","HomePageTest.TearDown","HomePageTest.TearDown","tearDown","tearDown",""
